regime_definition,model,accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,selected_model_flag
KMeans volatility clusters,XGBoost,0.621268656716418,0.5786136370594899,0.5786136370594899,0.5786136370594899,0.5786136370594899,1
KMeans volatility clusters,LightGBM,0.6007462686567164,0.5517957196656563,0.5599078341013825,0.5517957196656563,0.5555754074603458,0
KMeans volatility clusters,Sklearn HistGradientBoosting,0.5951492537313433,0.5509460824836961,0.5593500841196694,0.5509460824836961,0.5548660836314937,0
KMeans volatility clusters,Random Forest,0.5597014925373134,0.5996938244389333,0.5330172186356686,0.5996938244389333,0.5442563961736103,0
KMeans volatility clusters,Logistic Regression baseline,0.5615671641791045,0.6017145831419736,0.5163458564888596,0.6017145831419736,0.5339521788023017,0
Quantile tercile,Logistic Regression baseline,0.5018656716417911,0.5019239712354249,0.492929710498954,0.5019239712354249,0.4955634481319879,0
Quantile tercile,Sklearn HistGradientBoosting,0.5018656716417911,0.4981880359330339,0.4917385746244807,0.4981880359330339,0.49052472668107844,0
Quantile tercile,Random Forest,0.5,0.49678865523342863,0.48164496730044726,0.49678865523342863,0.48079664628937496,0
Quantile tercile,LightGBM,0.48880597014925375,0.48526963953541125,0.47608661564346894,0.48526963953541125,0.47529784457124724,0
Quantile tercile,XGBoost,0.4832089552238806,0.47781974502064334,0.4665092250175287,0.47781974502064334,0.46823188613566114,0
